46168:
 num     #instances         #bytes  class name (module)
 289:          1521          48672  io.opentelemetry.sdk.internal.ThrottlingLogger
 290:          1002          48096  kotlin.reflect.jvm.internal.impl.descriptors.impl.ValueParameterDescriptorImpl
 291:          2999          47984  com.intellij.util.containers.LockFreeCopyOnWriteArrayList
 292:          1992          47808  com.fasterxml.jackson.databind.introspect.MemberKey
 293:           455          47320  com.intellij.util.io.PersistentMapImpl
 294:           587          46960  kotlinx.coroutines.channels.BufferedChannel
 295:          1465          46880  jdk.internal.reflect.DirectMethodHandleAccessor (java.base@21.0.8)
 296:          1164          46560  io.opentelemetry.sdk.metrics.internal.descriptor.AutoValue_MetricDescriptor
 297:           132          46464  com.intellij.ui.components.JBScrollPane$Corner
 298:          1451          46432  com.intellij.platform.util.coroutines.ChildScope
 299:          1443          46176  com.intellij.util.containers.UnsafeWeakList$MyReference
 300:          1442          46144  java.util.ResourceBundle$KeyElementReference (java.base@21.0.8)
 301:          1922          46128  org.languagetool.rules.patterns.PatternToken$PosToken
 302:          1736          45928  [Lcom.intellij.util.lang.Loader;
 303:          1901          45624  ai.grazie.spell.dictionary.rule.ReplacingRuleDictionary$Descriptor
 304:          1900          45600  com.intellij.psi.stubs.StubIdList
 305:          1882          45168  com.intellij.openapi.extensions.ExtensionPointDescriptor
 306:          2812          44992  jdk.proxy2.$Proxy10 (jdk.proxy2)
 307:           802          44912  com.intellij.openapi.actionSystem.DefaultActionGroup
 308:          1403          44896  org.h2.mvstore.Page$PageReference
 309:           696          44544  java.nio.DirectByteBufferR (java.base@21.0.8)
 310:          1848          44352  java.lang.Long (java.base@21.0.8)
 311:          1844          44256  com.intellij.indexing.shared.util.zipFs.UncompressedZipFileSystem$ZipTreeNode
 312:          1844          44256  org.jdom.ImmutableSameTypeAttributeList
 313:          1381          44192  com.goide.psi.properties.GoFileProperties
 314:           460          44160  com.intellij.util.io.PersistentBTreeEnumerator
 315:          1103          44120  com.intellij.openapi.editor.markup.AttributesFlyweight$FlyweightKey
 316:           612          44064  kotlinx.coroutines.flow.SharedFlowImpl
 317:          1376          44032  kotlinx.coroutines.ChildContinuation
 318:          1825          43800  com.intellij.openapi.vcs.ex.ChangelistsLocalLineStatusTracker$RangeState
 319:            79          43608  com.github.benmanes.caffeine.cache.MpscGrowableArrayQueue
 320:          1805          43320  com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer$Bucket
 321:          1081          43240  com.intellij.openapi.vfs.newvfs.impl.VirtualDirectoryImpl
 322:          2669          42704  com.intellij.ide.ui.IJColorUIResource$$Lambda/0x000000980266ebc0
 323:          1773          42552  [Lcom.intellij.openapi.command.undo.DocumentReference;
 324:          1319          42208  com.intellij.util.containers.ConcurrentWeakKeyWeakValueHashMap$WeakValue
 325:          1744          41856  java.util.concurrent.ConcurrentLinkedQueue$Node (java.base@21.0.8)
 326:          1739          41736  com.intellij.ui.icons.IconDescriptionLoader
 327:          2604          41664  java.util.regex.Pattern$BranchConn (java.base@21.0.8)
 328:          1732          41568  kotlinx.coroutines.NodeList
 329:          1723          41352  kotlin.reflect.jvm.internal.impl.storage.LockBasedStorageManager$MapBasedMemoizedFunctionToNotNull
 330:           825          40808  [[J (java.base@21.0.8)
 331:           463          40744  com.intellij.util.io.IntToIntBtree
 332:          1691          40584  java.util.regex.Pattern$Ques (java.base@21.0.8)
 333:          1688          40512  com.intellij.openapi.util.Key
 334:          2512          40192  com.intellij.openapi.actionSystem.Presentation$$Lambda/0x0000009802416528
 335:          2500          40000  java.util.Collections$UnmodifiableCollection (java.base@21.0.8)
 336:          1657          39768  java.util.regex.Pattern$$Lambda/0x800000058 (java.base@21.0.8)
 337:          1653          39672  net.loomchild.segment.srx.Rule
 338:          1652          39648  com.intellij.util.io.StringRef
 339:          1236          39552  com.intellij.util.containers.intcaches.LinkedCustomIntObjectHashMap$Entry
 340:           988          39520  com.fasterxml.aalto.in.PNameN
 341:          1229          39328  kotlin.reflect.jvm.internal.impl.types.KotlinTypeFactory$$Lambda$0
 342:           350          39304  [Ljava.lang.ClassLoader; (java.base@21.0.8)
 343:          1637          39288  org.languagetool.rules.patterns.StringMatcher$2
 344:          1221          39072  com.intellij.serialization.PropertyAccessor
 345:          1219          39008  com.intellij.diff.util.Range
 346:           972          38880  sun.security.util.DerInputStream (java.base@21.0.8)
 347:           284          38624  java.awt.image.DirectColorModel (java.desktop)
 348:          1602          38448  kotlin.reflect.jvm.internal.impl.km.jvm.internal.JvmTypeExtension
 349:           681          38136  com.intellij.psi.impl.source.tree.CompositeElement
 350:          2371          37936  java.util.regex.Pattern$BitClass (java.base@21.0.8)
 351:           938          37520  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$Annotation$Argument
 352:           936          37440  java.math.BigInteger (java.base@21.0.8)
 353:          1558          37392  com.intellij.openapi.actionSystem.impl.ActionManagerImpl$$Lambda/0x00000098023f8000
 354:          2323          37168  java.util.LinkedHashSet (java.base@21.0.8)
 355:          1547          37128  java.util.concurrent.locks.ReentrantReadWriteLock (java.base@21.0.8)
 356:           773          37104  java.util.TreeMap (java.base@21.0.8)
 357:          1158          37056  kotlinx.coroutines.InvokeOnCompletion
 358:          1154          36928  ai.grazie.rules.common.MultiWordSpelling$Phrase
 359:           919          36760  java.security.AccessControlContext (java.base@21.0.8)
 360:           912          36480  java.io.FileDescriptor (java.base@21.0.8)
 361:           455          36400  com.intellij.util.io.PersistentHashMapValueStorage
 362:          1502          36048  java.util.regex.Pattern$CharProperty (java.base@21.0.8)
 363:           102          35904  javax.swing.JPanel (java.desktop)
 364:          2216          35456  kotlin.reflect.jvm.internal.impl.types.TypeSubstitutor
 365:           886          35440  com.intellij.codeInsight.template.impl.Variable
 366:          1092          34944  com.fasterxml.jackson.databind.util.internal.PrivateMaxEntriesMap$Node
